entity,list_name,level,asserted_by,basis,source_url,date_read
Papa John's,BDS grassroots organic boycott target,2,Palestinian BDS National Committee,"Supported by BDS; campaign not initiated by BDS",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Pizza Hut,BDS grassroots organic boycott target,2,Palestinian BDS National Committee,"Supported by BDS; campaign not initiated by BDS",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Domino's Pizza,BDS grassroots organic boycott target,2,Palestinian BDS National Committee,"Supported by BDS; campaign not initiated by BDS",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
WIX,BDS grassroots organic boycott target,2,Palestinian BDS National Committee,"Supported by BDS; campaign not initiated by BDS",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Google,BDS pressure target,3,Palestinian BDS National Committee,"Project Nimbus cloud contract",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Amazon,BDS pressure target,3,Palestinian BDS National Committee,"Project Nimbus cloud contract",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Booking.com,BDS pressure target,3,Palestinian BDS National Committee,"Listed in the UN settlement database",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Airbnb,BDS pressure target,3,Palestinian BDS National Committee,"Listed in the UN settlement database",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Expedia,BDS pressure target,3,Palestinian BDS National Committee,"Listed in the UN settlement database",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Arista Networks,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
BMC Software,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Bank Hapoalim,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of financing settlement activity",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Bank Leumi,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of financing settlement activity",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Barclays Bank,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of financing military technology producers",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Cisco,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology and supplying services",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Comm-IT Technologies,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Discount Bank,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of financing settlement activity",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Energy Team,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Fortinet,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
HPE Aruba Networking,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Hikvision,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of supplying the Israeli military",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Malam Team,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology and supplying the military",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Matrix Global Services,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
NetApp,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Nokia,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Nutanix,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Opswat,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Prologic ITS,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
ServiceNow,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
TKH Security,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of providing services to the Israeli state",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Waterfall Security,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Accused of sponsoring a conference on Israeli military technology",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
