#,Track,What I call it,Full title,Who wrote it,Year,Where it came out,How many people cite it,Can I download their work?,Did they follow a proper method?,How the data got in,Link,What I'm taking from it,Where this goes in my chapter
1,B,Moe & Aung,Building Ontologies for Cross-domain Recommendation on Facial Skin Problem and Related Cosmetics,"K. S. M. Moe, T. N. Aung",2014,Int. Journal of Information Technology and Computer Science 6(6) 33-39,"3 (2014 version), 8 (2016 reprint)","No. No link, no repository, no address. The ontology exists only as figures","No name given, but it is METHONTOLOGY in all but name: an eight task procedure",Not reported. Almost certainly typed in by hand in Protege,https://www.mecs-press.org/ijitcs/ijitcs-v6-n6/v6n6-5.html,"The eight task checklist, especially task 1, a glossary of every term with its synonyms. Also their ContextualFeatures class: price and place describe a product as sold somewhere, not the product itself","Section 3.2, first competitor"
25,C,Rahayu review,A systematic review of ontology use in E-Learning recommender system,N. Rahayu et al.,2022,Computers and Education: Artificial Intelligence,137,The review is published,"Studies whether OTHERS named a methodology, and finds they mostly did not",Doesn't apply here,https://consensus.app/papers/details/1f58f76b65ab5e5ca6b4ec6af28c2664/,"THE MOST USEFUL SINGLE CITATION IN MY WHOLE REVIEW. It means naming a construction methodology and reporting a named evaluation method are not housekeeping, they are CONTRIBUTIONS, because a 137-citation review found nobody does either","INTRODUCTION, not just related work"
26,C,Tarus review,Knowledge-based recommendation: a review of ontology-based recommender systems for e-learning,"J. Tarus, Z. Niu, G. Mustafa",2017,Artificial Intelligence Review,451,Published review,Categorises others' knowledge representation and ontology languages,Doesn't apply here,https://consensus.app/papers/details/015574eca5b4569e908597b9530f1c34/,THE STANDARD CITATION for the claim that ontologies improve recommendation quality. 451 citations means nobody will argue with it,"Section 4, opening justification"
27,C,Tarus hybrid,A hybrid knowledge-based recommender system for e-learning based on ontology and sequential pattern mining,"J. Tarus, Z. Niu, A. Yousif",2017,Future Generation Computer Systems,277,They don't say,Not named,They don't say,https://consensus.app/papers/details/69c37012e3de5c3891ffa9bed00d6c52/,THEIR EXPLICIT CLAIM that ontological domain knowledge ALLEVIATES COLD START AND SPARSITY. That is my cold start argument with a 277-citation citation attached,"Section 4, cold start; Section 5, future work"
28,C,George & Lal,Review of ontology-based recommender systems in e-learning,"G. George, A. M. Lal",2019,"Computers and Education, Elsevier",183,Published review,They're reviewing other people's work,Doesn't apply here,https://consensus.app/papers/details/1171abdae4bf54eebbc12c0da1d98e60/,"The three-word summary of why an ontology: reusability, reasoning, inference. Useful phrasing for a supervisor conversation","Section 4, opening justification"
29,C,Alaa ontology evolution,Improving Recommendations for Online Retail Markets Based on Ontology Evolution,R. Alaa et al.,2021,"Electronics, MDPI",14,They don't say,"Proposes a SEMI-AUTOMATIC ontology building methodology, plus an ontology evolution subsystem",Semi-automatic technique,https://consensus.app/papers/details/3d92e67dcc925ea89d0541ffbf6b99a3/,"THE MAINTENANCE ARGUMENT. One-shot ontology construction cannot capture change. Every skincare ontology in my review is a snapshot with no plan. Lebanese prices move weekly, so this is not theoretical for me","Section 4, and my maintenance plan"
30,C,E-Prod,An ontology based product recommendation system for next generation e-retail,A. M. Tiryaki et al.,2023,Journal of Organizational Computing and Electronic Commerce,4,"Not stated, it was a state-funded R&D project",Not named,"IT TRACKS E-COMMERCE SITES IN REAL TIME AND TRANSFERS PRODUCT INFORMATION INTO THE ONTOLOGY MODEL. That is an automated, continuous population pipeline",https://consensus.app/papers/details/d79755c5a1a65d048c1d926a7e172938/,THE POPULATION ARCHITECTURE. Real-time tracking of retail sites into an ontology is the industrial version of what I built by hand. Also their evaluation design: a real baseline and 250 users,"Section 4, and future work"
31,C,OntoCommerce,OntoCommerce: an ontology focused semantic framework for personalised product recommendation for user targeted e-commerce,G. Deepak et al.,2019,International Journal of Computer Aided Engineering and Technology,38,They don't say,Not named,They don't say,https://consensus.app/papers/details/020e8260f3395f61aae71e369bce366e/,AN ALTERNATIVE SIMILARITY MEASURE: normalised pointwise mutual information. Worth knowing when I choose how to compute product similarity,"Comparison table, similarity methods"
32,C,Lahoud (Lebanon),A comparative analysis of different recommender systems for university major and career domain guidance,C. Lahoud et al.,2022,"Education and Information Technologies, Springer",36,The ontology is described as reusable in other systems,Not named,They don't say,https://consensus.app/papers/details/1aef32f231a051b8b266907d2bb517b6/,"THE LOCAL PRECEDENT. A Lebanon-focused ontology recommender is publishable in a real journal with citations. That answers 'is a local scope a limitation' before it is asked. Also: the HYBRID beat every pure approach, which supports my future work direction","Section 4, and scope justification"
33,C,COPPER ontology,Development and evaluation of the COntextualised and Personalised Physical activity and Exercise Recommendations (COPPER) Ontology,M. Braun et al.,2025,International Journal of Behavioral Nutrition and Physical Activity,4,"YES, openly available, and being open is stated as one of its three novelty claims","Follows OBO Foundry design principles, with specification, conceptualisation and formalisation phases","Conceptualisation combined theory, classification systems, end-user input, expert input and datasets",https://consensus.app/papers/details/49832525b1df5c31865f019b8635ffe5/,"THIS IS THE TEMPLATE FOR MY WHOLE ONTOLOGY CHAPTER. Modular lower-level ontologies including a CONTEXT module and a BARRIER module. Openly available as a stated contribution. Evaluation by competency questions and use cases rather than accuracy. Even the size, 288 classes, is a realistic target","Methodology chapter, the model to follow"
34,C,FEVR,Evaluating Recommender Systems: Survey and Framework,"E. Zangerle, C. Bauer",2022,ACM Computing Surveys,283,"Published survey, widely used",Doesn't apply here,Doesn't apply here,https://consensus.app/papers/details/793b2c09411459cda72df729aee73069/,"THE JUSTIFICATION FOR MY EVALUATION DESIGN. FEVR's core argument is that the evaluation setting must follow the evaluation GOAL. My goal is correctness with a stated reason, not ranking accuracy, so precision and recall are the wrong instruments to reach for","Evaluation chapter, opening justification"
35,D,Lee (lululab),Deep learning-based skin care product recommendation: A focus on cosmetic ingredient analysis and facial skin conditions,"J. Lee, H. Yoon, S. Kim, C. Lee, J. Lee, S. Yoo",2024,"Journal of Cosmetic Dermatology, Wiley",They never say,No. Corporate R&D,"Not applicable, no ontology",Doesn't apply here,https://doi.org/10.1111/jocd.16218,"Nothing technical. Its value is that IT DOES MY PROBLEM WITHOUT AN ONTOLOGY, so I must answer it directly and honestly","Section 5, and the honesty paragraph"
36,D,NCF,Neural Collaborative Filtering,"X. He, L. Liao, H. Zhang, L. Nie, X. Hu, T.-S. Chua",2017,WWW 2017,Many thousands,"Yes, code is public",Doesn't apply here,Doesn't apply here,https://arxiv.org/abs/1708.05031,"The citation, as the standard neural baseline","Section 5, background"
37,D,Zhang DL survey,Deep Learning based Recommender System: A Survey and New Perspectives,"S. Zhang, L. Yao, A. Sun, Y. Tay",2019,ACM Computing Surveys 52(1),Several thousand,Published survey,Doesn't apply here,Doesn't apply here,https://arxiv.org/abs/1707.07435,"The reference taxonomy for the deep learning track, so I can characterise the whole family in one citation instead of ten","Section 5, background"
38,E,CKE,Collaborative Knowledge Base Embedding for Recommender Systems,"F. Zhang, N. J. Yuan, D. Lian, X. Xie, W.-Y. Ma",2016,ACM SIGKDD 2016,Thousands,Widely reimplemented,Doesn't apply here,Doesn't apply here,https://dl.acm.org/doi/10.1145/2939672.2939673,The citation. It is the first of the four canonical hybrid models,"Section 6, hybrid background"
39,E,RippleNet,RippleNet: Propagating User Preferences on the Knowledge Graph for Recommender Systems,"H. Wang, F. Zhang, J. Wang, M. Zhao, W. Li, X. Xie, M. Guo",2018,ACM CIKM 2018,Thousands,Code public,Doesn't apply here,Doesn't apply here,https://arxiv.org/abs/1803.03467,"The citation, and the intuition that graph distance encodes relatedness","Section 6, hybrid background"
40,E,KGAT,KGAT: Knowledge Graph Attention Network for Recommendation,"X. Wang, X. He, Y. Cao, M. Liu, T.-S. Chua",2019,ACM SIGKDD 2019,Thousands,"YES, code on GitHub",Doesn't apply here,Doesn't apply here,https://arxiv.org/pdf/1905.07854 | code: https://github.com/xiangwang1223/knowledge_graph_attention_network,"The citation, and its comparison table which tells me the cost profile of the whole family","Section 6, and future work"
41,E,KPRN,Explainable Reasoning over Knowledge Graphs for Recommendation (KPRN),"X. Wang, D. Wang, C. Xu, X. He, Y. Cao, T.-S. Chua",2019,"AAAI Conference on Artificial Intelligence 33, 5329-5336",Over a thousand,Code public,Doesn't apply here,Doesn't apply here,https://ojs.aaai.org/index.php/AAAI/article/view/4470,"THE MOST RELEVANT PAPER IN TRACK E. Its insight is that a path through the graph IS a reason. That is the same intuition as a reasoner producing a justification, arrived at from the neural side","Section 6, and the explainability argument"
42,E,RDF2Vec,RDF2Vec: RDF Graph Embeddings for Data Mining,"P. Ristoski, H. Paulheim",2016,"ISWC 2016, Springer LNCS",Over a thousand,"Yes, widely available",Doesn't apply here,Doesn't apply here,https://doi.org/10.1007/978-3-319-46523-4_30,"The concept, and the citation. Turning a graph into vectors is how the two halves of my review connect","Section 6, embeddings"
43,E,OWL2Vec*,OWL2Vec*: Embedding of OWL Ontologies,"J. Chen, P. Hu, E. Jimenez-Ruiz, O. M. Holter, D. Antonyrajah, I. Horrocks",2021,"Machine Learning journal 110, 1813-1845, Springer",Several hundred,"YES, code on GitHub",Doesn't apply here,Doesn't apply here,https://doi.org/10.1007/s10994-021-05997-6 | code: https://github.com/KRR-Oxford/OWL2Vec-Star,"THE RIGHT HYBRID ENTRY POINT FOR ME, and the only one in track E I could use immediately, because IT NEEDS AN ONTOLOGY, NOT A USER LOG. Two concrete uses: product similarity with no ratings, and predicting missing values","Section 6, and my future work chapter"
44,E,Ontology-grounded GraphRAG,Ontology-grounded knowledge graphs for mitigating hallucinations in large language models for clinical question answering,M. Ali et al.,2026,"Journal of Biomedical Informatics, Elsevier",11,They don't say,"Domain-specific RDF/OWL ontology, construction not detailed in the abstract",From clinical and hospital data,https://consensus.app/papers/details/d7c871f2bb3857439c1bfa563bebf37a/,"THE ANSWER TO 'WHY NOT JUST ASK AN LLM', which is the question every supervisor and reviewer will ask in 2026. With numbers, peer reviewed, in a domain with physical risk","INTRODUCTION, and Section 6"
45,E,LLMs4OL,LLMs4OL 2024 Overview: The 1st Large Language Models for Ontology Learning Challenge (and the 2025 second edition),"H. Babaei Giglou, J. D'Souza, S. Auer",2024-2025,ISWC challenge proceedings,Growing,"YES, the challenge data is public",A shared task rather than a methodology,The whole point is automated construction,https://arxiv.org/abs/2409.10146,"THE TASK DEFINITIONS. My benefits and concerns columns are free text in several languages written by retailers. That is term typing and taxonomy discovery, exactly","Section 6, future work"
46,E,Shimizu LLM+ontology,Accelerating Knowledge Graph and Ontology Engineering with Large Language Models,"C. Shimizu, P. Hitzler",2024,"arXiv, position paper",46,Public preprint,Argues that MODULAR approaches to ontologies will be of central importance,"Discusses LLMs for ontology modelling, extension, modification, POPULATION, alignment and entity disambiguation",https://consensus.app/papers/details/82d868ee8f7953108246241e28d5e339/,"THE ARGUMENT THAT MODULARITY MATTERS MORE, NOT LESS, IN THE LLM ERA. That is direct support for my four-module design, from the authors of the modular methodology I am adopting","Section 6, and methodology justification"
47,F,Noy & McGuinness 101,Ontology Development 101: A Guide to Creating Your First Ontology,"N. F. Noy, D. L. McGuinness",2001,Stanford Knowledge Systems Laboratory technical report,Many thousands,Freely available,"Yes, a seven-step process",Doesn't apply here,https://protege.stanford.edu/publications/ontology_development/ontology101.pdf,"The class-versus-property test, and the individual-versus-class test, which I used to decide that Annex entries are individuals. Also the practice of writing competency questions",Methodology chapter
48,F,LOT,LOT: An industrial oriented ontology engineering framework,"M. Poveda-Villalon, A. Fernandez-Izquierdo, M. Fernandez-Lopez, R. Garcia-Castro",2022,"Engineering Applications of Artificial Intelligence 111, Elsevier",Growing fast,Freely documented,"IT IS the methodology. Four activities: requirements, implementation, publication, maintenance","Not about population, but its requirements activity produces the ORSD that drives everything",https://lot.linkeddata.es/ | https://doi.org/10.1016/j.engappai.2022.104755,"THE PROJECT STRUCTURE AND THE PUBLICATION DISCIPLINE. Four activities, each producing a thesis deliverable: requirements to the methodology chapter, implementation to the design chapter, publication to the results chapter, maintenance to the discussion","Methodology chapter, the framework"
49,F,MOMo,Modular ontology modeling,"C. Shimizu, K. Hammar, P. Hitzler",2022,"Semantic Web journal, IOS Press",84,"Freely documented, tool available","IT IS the methodology. Builds on eXtreme Design, adds GRAPHICAL SCHEMA DIAGRAMS as the knowledge elicitation device",Not about population,https://consensus.app/papers/details/7df1c6652d4759c0bf23e59205fddd50/ | tool: https://comodide.com/,"THE DESIGN METHOD, AND THE FOUR REASONS REUSE FAILS, WHICH I HAVE PERSONALLY HIT THREE OF: differing granularity (OntoCosmetic has 116 classes and I need 10), lacking conceptual clarity (Moe and Aung's hasIngValue means nothing without the paper), difficulty adhering to good principles (my first ...","Methodology chapter, the design method"
50,F,eXtreme Design,Engineering Ontologies with Patterns: The eXtreme Design Methodology,"E. Blomqvist, K. Hammar, V. Presutti",2016,"Ontology Engineering with ODPs, IOS Press",113,Published,"IT IS the methodology. Agile, pattern-based",Doesn't apply here,https://consensus.app/papers/details/ed01a11435b75058a2e98e48ccdc4d8d/,The parent of MOMo. Cite both to show the lineage of the method I chose,"Methodology chapter, lineage"
51,F,ODP book,Ontology Engineering with Ontology Design Patterns: Foundations and Applications,"P. Hitzler, A. Gangemi, K. Janowicz, A. Krisnadhi, V. Presutti (eds)",2016,IOS Press,99,Published book,Modular ontology modelling based on design patterns,Doesn't apply here,https://consensus.app/papers/details/b0ac301002d95b13844ad0c55cc322a4/,"THE NAME FOR WHAT I AM DOING. My two reifications are the n-ary relation pattern. Calling them that, and citing this, turns an improvisation into an application of an established pattern","Design chapter, pattern justification"
52,F,Grau modular reuse,Modular Reuse of Ontologies: Theory and Practice,"B. Cuenca Grau, I. Horrocks, Y. Kazakov, U. Sattler",2008,Journal of Artificial Intelligence Research,453,Published,Formal theory rather than a methodology,Doesn't apply here,https://consensus.app/papers/details/3bc32d5e379851aeaef1106fdfd67cef/,"ONE SENTENCE OF RIGOUR. When I import part of another ontology, there is a formal notion of doing so SAFELY, meaning without changing the meaning of the imported terms. I do not need the mathematics, but citing it shows I know the guarantee exists","Design chapter, reuse justification"
53,F,MODL,MODL: A Modular Ontology Design Library,"C. Shimizu, Q. Hirt, P. Hitzler",2019,WOP / arXiv,55,"YES, publicly available",Supports pattern-based modular development,Doesn't apply here,https://consensus.app/papers/details/4af016e1676c59d79b0de41f7ea96d68/,A PLACE TO LOOK BEFORE INVENTING A PATTERN. They state the barrier plainly: you cannot reuse a pattern you do not know exists,"Design chapter, sprint 2"
54,F,OOPS!,OOPS! (OntOlogy Pitfall Scanner!): An On-line Tool for Ontology Evaluation,"M. Poveda-Villalon, A. Gomez-Perez, M. C. Suarez-Figueroa",2014,International Journal on Semantic Web and Information Systems 10(2) 7-34,Several hundred,"YES, free web tool, no login",Not a methodology. It is an evaluation tool,Doesn't apply here,https://oops.linkeddata.es/,"A CONCRETE EVALUATION NUMBER FOR ONE AFTERNOON OF WORK. Upload the ontology, get a graded pitfall report, fix what is cheap, and report the rest honestly","Evaluation chapter, structural layer"
