#,Track,What I call it,How much I care,Full title,Who wrote it,Year,Where it came out,Is that a good place to publish?,How many people cite it,Where they're from,Link,Did I actually read it?,What problem were they solving,Who they built it for,What data they used,How much of it,Can I download their work?,Did they follow a proper method?,How many classes,How many properties,The classes worth knowing about,The properties worth knowing about,Any rules or clever definitions,How the data got in,What software they used,How it actually recommends things,Reasoner,SPARQL?,Did they link to outside data,How they tested it,The numbers they got,Do the numbers back up the claim?,What I'm taking from it,"What I'm leaving, and why",What they can't do that I can,The idea nobody would expect,Where this goes in my chapter
1,B,Moe & Aung,Read closely,Building Ontologies for Cross-domain Recommendation on Facial Skin Problem and Related Cosmetics,"K. S. M. Moe, T. N. Aung",2014,Int. Journal of Information Technology and Computer Science 6(6) 33-39,"Weak. A low barrier journal. Say so plainly if asked; I cite it for its method, not its standing","3 (2014 version), 8 (2016 reprint)","Univ. of Technology Yatanarpon Cyber City + Univ. of Computer Studies Yangon, Myanmar",https://www.mecs-press.org/ijitcs/ijitcs-v6-n6/v6n6-5.html,"Read the whole PDF, it's in our repo","A user has a facial skin problem and needs a cosmetic. The problem and the products live in two different worlds, so how do you bridge them",Consumers with a skin complaint,None stated. This is the paper's biggest weakness,Not reported anywhere in the paper,"No. No link, no repository, no address. The ontology exists only as figures","No name given, but it is METHONTOLOGY in all but name: an eight task procedure",They never say,They never say,"SkinProblem, Symptom, Cause, Cosmetics, and ContextualFeatures which holds PlaceZone, AgeLevel, CosmeticsBrand, Season, PriceRange","hasIngredients, hasIngValue, isNextRelatedTo, hasSymptom, hasCause","None. No defined classes, no rules",Not reported. Almost certainly typed in by hand in Protege,Protege,"Three stages. Conversational questioning narrows a vague query to a definite problem, then problem and products go into a weighted graph, then Ford-Fulkerson maximum flow scores each product. Highest flow wins",None. An ontology paper that never actually reasons,No,None,"Precision, recall and F-measure, plotted against a cut-off they call alpha",Product flow weights from 0.38 to 0.70. No dataset size given,"No. They claim to beat related work but there is no comparison table, no baseline and no dataset size","The eight task checklist, especially task 1, a glossary of every term with its synonyms. Also their ContextualFeatures class: price and place describe a product as sold somewhere, not the product itself","Ford-Fulkerson. My products already carry availability, price and evidence level, so a weighted filter does the same job with less machinery","Their ingredients are free text with a number attached and no register behind them. Nothing in their model can say an ingredient is regulated. Mine can, on 99.2% of products with a formula","Their throwaway Season class. Beirut summer is humid and coastal, winter is dry, so a gel cleanser right in August is wrong in January. Nobody in my whole review models climate, and Lebanon has a genuinely seasonal skin problem","Section 3.2, first competitor"
12,B,CosIng-KG,CHECK FIRST - could save weeks,cosing-kg: the European Commission CosIng database converted to RDF,biobricks-ai,n/a,"GitHub repository, serving kg.toxindex.com",Not a paper. An artefact,They never say,biobricks-ai,https://github.com/biobricks-ai/cosing-kg,Only the GitHub page,Make CosIng available as principled RDF,Anyone building on cosmetic ingredient regulation,"CosIng itself, the same register I already use","28,573 CosIng entries","YES, on GitHub",They don't say,Doesn't apply here,Doesn't apply here,Whatever CosIng's structure maps to,Haven't looked properly yet,None,Converted from the CosIng release,Haven't looked properly yet,Doesn't apply here,None,Doesn't apply here,CosIng identifiers,Doesn't apply here,Doesn't apply here,Doesn't apply here,"POSSIBLY MY ENTIRE INGREDIENT LAYER, free and citable. If its IRIs and licence work for me, I reuse it and my products link straight to its ingredient IRIs","Nothing yet, haven't opened it","If it is NOT usable, that is equally valuable: my own conversion then becomes a stated contribution rather than an assumption",This is the highest-value 30 minutes available to me right now. Two outcomes and both are good. Do it before writing any Turtle,"Sprint 2 action item, and a footnote in the methodology"
13,B,DermO,Check in sprint 2,DermO: an ontology for the description of dermatologic disease,"Multiple authors, University of Birmingham",2016,Journal of Biomedical Semantics,"Solid specialist journal, and the ontology is properly published",They never say,"University of Birmingham, UK",https://bioportal.bioontology.org/ontologies/DERMO,Abstract and BioPortal record,"Give dermatologic disease a formal, shareable terminology",Clinicians and biomedical informaticians,"Expert-authored terminology, built manually by domain experts","More than 3,000 terms in 20 upper-level categories","YES. GitHub plus BioPortal, in OBO flat file and OWL 2",Follows biomedical ontology conventions; aligned to ICD-10,"3,000+ terms",They never say,"Disease entities categorised by anatomical location, heritability, affected cell or tissue type, and cause",Not inspected in detail,Doesn't apply here,"Manually, by domain experts","OBO tooling, Protege",Not a recommender. A terminology,They don't say,Via BioPortal,Aligned to ICD-10 and integrated with other disease and phenotype ontologies,Expert review and cross-ontology mapping,"3,000+ terms, 20 categories","Yes, for a terminology resource","MY CONCERN VOCABULARY. Right now acne, dryness, redness and hyperpigmentation are free text I invented. If they link to DermO they become entities a dermatologist can check, aligned to ICD-10",The clinical disease depth. I am not diagnosing anything,It has no products. But this one repairs a weakness in MY work rather than theirs,"I identified that nobody clinical has reviewed my vocabulary, and I cannot get a dermatologist quickly. I can ALIGN TO ONE THAT DERMATOLOGISTS ALREADY BUILT. Beyond that: DermO categorises by anatomical location, so aligning products to body site lets me ask which products cover which site, and where a routine leaves a site uncovered. No retail taxonomy can do that","Section 3.6, and sprint 2 action"
14,B,D3X,Skim only,Dermoscopy Differential Diagnosis Explorer (D3X) Ontology to Aggregate and Link Dermoscopic Patterns to Differential Diagnoses,Multiple authors,2024,JMIR Medical Informatics 12:e49613,"Good specialist journal, peer reviewed",They never say,Not recorded,https://medinform.jmir.org/2024/1/e49613,I only read the abstract,Link dermoscopic patterns to the diagnoses they suggest,Dermatologists,Dermoscopic patterns and differential diagnoses,Abstract doesn't say,Described as a development and usability study; check availability,They don't say,They never say,They never say,"Dermoscopic patterns, differential diagnoses",Abstract doesn't go into it,They don't say,They don't say,They don't say,Not a recommender,They don't say,They don't say,Dermatology terminologies,A USABILITY STUDY. This is the point for me,Abstract doesn't say,Appears appropriate for its claim,"The EVALUATION DESIGN. Ontologies in this space are evaluated by expert review and task completion, not by precision and recall. Knowing that saves me from promising an evaluation I cannot deliver",The dermoscopy domain entirely,"No products, no market, no regulation","It tells me what a credible 2024 dermatology ontology evaluation looks like. Competency questions plus a usability study, not accuracy figures. That is the shape my evaluation chapter should take","Evaluation chapter, method justification"
15,B,Halal flavouring ontology,Read the pattern,Development of Flavouring Ontology for Recommending the Halal Status of Flavours,Multiple authors,2024,Journal of Information Science Theory and Practice 12(2),Modest but peer reviewed,They never say,Malaysia,https://accesson.kr/jistap/v.12/2/22/42865,I only read the abstract,Trace the halal status of flavour ingredients so a manufacturer can predict a product's status,Food manufacturers and halal certifiers,Flavour ingredients and halal certification references. Domain experts from JAKIM (Malaysian Dept of Islamic Development) were consulted,They don't say,They don't say,Not named,They don't say,They don't say,"Halal certification process, halal concept, reference sources, traceability",Abstract doesn't go into it,They don't say,They don't say,They don't say,Status is inherited: a product's halal status follows from its ingredients' statuses according to a named authority,They don't say,They don't say,None,Expert consultation with the certifying body,They don't say,Appears appropriate for a conceptual framework,"THE THREE-PART PATTERN: ingredient, AUTHORITY, status, with the authority as a first-class entity rather than an attribute. Swap halal certification for EU Annex restriction and it is my problem exactly",The halal food domain specifics,"Nothing directly. This is a pattern donor, not a competitor","Because the authority is modelled separately, I can say 'Phenoxyethanol is restricted under Annex V/29 ACCORDING TO the European Commission' and leave room for a second authority later. For Lebanon that is realistic, since local regulation is not identical to EU regulation. This one design choice future-proofs the whole regulatory layer","Section 3.6, pattern source"
16,B,Klaschka,Read closely - free finding,Naturally toxic: natural substances used in personal care products,U. Klaschka,2015,Environmental Sciences Europe,"Good peer-reviewed journal, and heavily cited",107,"Ulm University, Germany",https://consensus.app/papers/details/c46f8b2f2d295088a0e529d31143952c/,I only read the abstract,"Which natural substances in personal care products are actually hazardous, and how does EU law handle them","Regulators, and anyone who believes natural means safe",The INCI list and the EU classification and labelling inventory,"1,358 natural substances in INCI. 655 of them in the EU C&L inventory",The underlying registers are public,Not an ontology paper,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,REACH and CLP regulatory instruments,Regulatory analysis and classification counting,"56% of the 655 classified as hazardous. 38% for human health hazards. 35% for skin and eye effects. 53 substances classified as carcinogenic, mutagenic or toxic to reproduction","Yes, and it also flags inconsistencies in the classifications themselves","PEER-REVIEWED EVIDENCE, 107 citations, that natural does not mean safe. That arms my free_from column and every 'natural' and 'clean' claim in my product descriptions",The environmental toxicology detail,"They have the hazard classifications and no products. I have 11,802 formulas AND the marketing claims AND the register","A COMPUTABLE RESEARCH QUESTION NOBODY ELSE CAN ANSWER: across 12,629 products, do products marketed as natural contain FEWER hazardous ingredients than products that are not? I already hold all three pieces. No new data collection. That is a finding sitting in my existing dataset waiting to be run","Section 3.6, and a results chapter of its own"
17,B,MVFM,"Interesting, low priority",Predictive Analysis of Cosmetic Formulations: A Multi-Vector INCI Mapping Methodology for Objective Product Assessment,R. Plonsak,2026,Journal of Applied Cosmetology,"Small journal, very recent",0,Not recorded,https://consensus.app/papers/details/ea07c5e70d905e3694e09206096364f2/,I only read the abstract,EU law requires claims not to mislead but does not require them to be grounded in composition. A product sold as barrier-restoring need not contain barrier lipids. There is no standard way to check from the label alone,Practitioners and dermatologists,INCI lists from commercial products,Three commercial products as a test case,The method is described in the paper,Not an ontology,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Manual scoring by one evaluator,None,"Finds the first regulated preservative or fragrance marker in the INCI list and uses its POSITION as a boundary. Ingredients above it are scored on three vectors: Hydration, Lipid, Structural, each 0 to 3",None,No,None,Applied to three products by one evaluator,"Segmentation worked on all three. One product marketed as anti-aging scored H=4 L=7 S=6, a lipid-dominant profile more like a texture cream. Two regulated fragrance allergens found in its functional zone","No, and the author says so: three products, one evaluator, and larger validation and inter-rater reliability still to do","THE USE OF INCI POSITION AS A SIGNAL. This is why my ontology must reify IngredientListing with a position number. Position is concentration order, the only concentration signal a consumer ever gets",The manual three-vector scoring. It is subjective and unvalidated,"They tested three products by hand. I could run their method across 11,802 formulas automatically and report inter-product statistics, which is the validation they say is missing","Their core finding is that a marketing claim can be unsupported by composition. That is EXACTLY my evidence-level argument, arrived at from the formulation side. Running their method at scale on my data would produce the first large-sample test of whether cosmetic claims are compositionally grounded. That is a paper","Section 3.6, and possible future work"
18,B,Landau INCI guide,Background reading,Hacking the International Nomenclature of Cosmetic Ingredients List: How to Read Ingredients in Cosmetic Products and What Is Important for a Dermatologist to Know,M. Landau et al.,2023,"Dermatologic Clinics, Elsevier",Good clinical review journal,4,Israel,https://consensus.app/papers/details/ae9df404874a59bb9266b3e1d1bf4821/,I only read the abstract,Dermatologists are asked to recommend cosmetics but are rarely taught to read an ingredient list,Dermatologists,Review of INCI structure and formulation principles,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Narrative review,Doesn't apply here,It is a review and does not overclaim,A CITABLE SOURCE for how INCI lists are structured and read. Useful in my methods chapter when I explain why parsing them is hard,"Nothing to leave, it is background","It confirms that even dermatologists find INCI hard to read, which is an argument for automating the interpretation","If dermatologists are not taught to read INCI, then a tool that reads it FOR them has a professional user, not just a consumer one. That widens who my ontology is for, and pharmacists in Beirut are a realistic first audience","Introduction, motivation"
19,C,Middleton,Read closely - cite first,Ontological User Profiling in Recommender Systems,"S. E. Middleton, N. R. Shadbolt, D. C. De Roure",2004,ACM Transactions on Information Systems 22(1) 54-88,"THE BEST VENUE IN MY ENTIRE REVIEW. ACM TOIS, Q1",In the thousands,"University of Southampton, UK",https://doi.org/10.1145/963770.963773,Abstract + other people writing about it,Recommend academic papers by describing what a user is interested in using an ontology rather than a bag of keywords,Researchers,"Academic paper databases, plus unobtrusively monitored user behaviour and relevance feedback","Two deployed systems, Quickstep and Foxtrot",The systems are described in the paper,Not named as a methodology,They never say,They never say,A research paper topic ontology,Topic hierarchy relations,Ontological inference over the topic hierarchy,Papers classified into ontological classes automatically,Their own systems,User behaviour builds a profile expressed in ontology terms. Ontological inference extends it up the hierarchy. Collaborative recommendation then finds papers seen by similar people on the user's current topics,"Yes, ontological inference",Predates widespread SPARQL,Used an external publication database to bootstrap,Deployed experiments with real users over time,"Three findings, all positive: inference improves profiling, external knowledge bootstraps the system, and profile visualisation improves accuracy","Yes. Real deployments, real users, and the findings are stated as findings rather than as superiority claims",ALL THREE FINDINGS ARE MY THREE ARGUMENTS. Inference up a hierarchy (my concerns have one). External knowledge bootstraps a cold start (a new Beirut user has no history but the ontology already knows what suits combination skin). Profile visualisation (a user can see and correct 'the system thinks your skin is oily'),The collaborative filtering half. I have no user base,"They had no regulatory grounding and no product safety dimension, because papers are not dangerous","Their unobtrusive monitoring, applied to Lebanon, is not browsing history. It is THE RECEIPT. Beirut pharmacies are small and repeat custom is the norm. A profile built from what someone actually re-bought is more honest than one built from clicks, and my shops_in_lebanon and price columns are the start of a purchase-side model no global system has","Section 4.1, opens the chapter"
20,C,FoodKG,Read closely - closest analogue,FoodKG: A Semantics-Driven Knowledge Graph for Food Recommendation,"S. Haussmann, O. Seneviratne, Y. Chen, Y. Ne'eman, J. Codella, C. Chen, D. L. McGuinness, M. J. Zaki",2019,"The Semantic Web, ISWC 2019, Springer LNCS",ISWC is the top semantic web conference. Rank A,Several hundred,"Rensselaer Polytechnic Institute and IBM Research, USA",https://doi.org/10.1007/978-3-030-30796-7_10 | https://foodkg.github.io/,"Abstract, project site and secondary sources",Recipes and food information are scattered across the web. Organise diet knowledge into one graph so people can eat more healthily,"Consumers wanting to eat well, and researchers","Recipes, nutrition data, food taxonomies, and links into existing ontologies",A large integrated graph. Millions of triples,"YES, published at foodkg.github.io","Not named as a formal methodology, but construction is described as a contribution",Not stated as a single number,Not stated as a single number,"Recipes, ingredients, nutrients, food taxonomy categories","Links between recipes, their ingredients and nutrition facts",Constraint handling for allergies,"Integration of several existing datasets and ontologies into one graph, described step by step","Semantic web stack, SPARQL services","A SPARQL-based service finds recipes you can make from ingredients you have, while respecting HARD CONSTRAINTS such as allergies. Also powers a question-answering agent",Not what the paper is about,"YES, it is the service layer",Links into existing food and nutrition ontologies,Demonstrated through several applications built on the graph,Not framed as accuracy. The contribution is the resource and its uses,"Yes. It claims to be a resource and it is one, published and reusable","FOUR PRACTICES. Construction described as a contribution in its own right. A stated MAINTENANCE PLAN, which no skincare ontology has. Multiple applications on one graph, so the graph is infrastructure not an app. And HARD CONSTRAINTS, not preferences: an allergy is a filter, not something to weigh",The recipe domain specifics,"Nothing. This is the model to follow, not a competitor. Its existence proves a top venue accepts graph construction as the contribution","It powers a QUESTION ANSWERING agent, not a ranked list. A Lebanese user does not want 12,629 products ranked. They want to ask 'something for dry skin, under fifteen dollars, that I can actually buy in Hamra'. That is a constrained question and all four constraints are real columns in my data. Framing my system as constrained QA rather than ranking is both more useful and more defensible, because constraint satisfaction is where symbolic methods genuinely beat neural ones","Section 4.2, the structural analogue"
21,C,Constrained QA over FoodKG,Read closely,Personalized Food Recommendation as Constrained Question Answering over a Large-scale Food Knowledge Graph,"Y. Chen, A. Subburathinam, C.-H. Chen, M. J. Zaki",2021,WSDM / arXiv 2101.01775,Strong. WSDM is a leading conference,Over 100,"Rensselaer Polytechnic Institute and IBM, USA",https://arxiv.org/abs/2101.01775,Abstract,Turn food recommendation into answering a question with constraints rather than ranking a list,Consumers with dietary constraints,The FoodKG graph,Large-scale food knowledge graph,Builds on published FoodKG,Not an ontology construction paper,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Inherits FoodKG,Question answering over a KG,The user's requirements become constraints in a question; the system answers over the graph subject to those constraints,Not what the paper is about,"Yes, over the KG",FoodKG's existing links,Benchmarks on constrained recommendation,Reported as effective; exact figures not in the abstract,Appears sound,"THE FRAMING. Recommendation as constrained question answering. My four hard constraints are skin suitability, allergen absence, price ceiling and Lebanese availability",The food specifics,They have no regulatory authority behind their constraints. My allergen constraint cites EU law,"This is the paper that tells me what my SYSTEM should be, if I build one. Not a recommender that ranks. A question answerer that filters. It also makes my evaluation easier, because a constraint is either satisfied or it is not, which is checkable without a user study","Section 4.2, system framing"
22,C,Di Noia / Ostuni,Read closely,Linked Open Data to Support Content-based Recommender Systems (and the RecSys 2013 and WIMS 2015 papers in the same line),"T. Di Noia, R. Mirizzi, V. C. Ostuni, D. Romito, M. Zanker",2012-2015,"I-SEMANTICS 2012, RecSys 2013, WIMS 2015",RecSys is the top recommender systems conference,Several hundred across the line,"Politecnico di Bari, Italy",https://doi.org/10.1145/2797115.2797128,Abstracts and secondary sources,"Recommend items using the links they have in the linked open data cloud, when you do not have rich item descriptions",Content-based recommender builders,"DBpedia, Freebase, LinkedMDB. Movies",Standard movie benchmark datasets,Methods published; datasets are public,Not an ontology construction paper,Doesn't apply here,Doesn't apply here,Uses DBpedia's existing classes,DBpedia predicates as vector dimensions,None,Uses existing linked data,SPARQL against DBpedia endpoints,"A semantic vector space model. Each item becomes a vector whose dimensions are its LINKS in the LOD cloud rather than its words. Two films are similar if they share a director, a genre, a period, a country",No,"YES, central to the method","DBpedia, Freebase, LinkedMDB",Offline evaluation on movie benchmarks,Reported as promising. Precision and recall on standard splits,"Reasonably. They describe results as promising rather than conclusive, and name their open problems","PRODUCT SIMILARITY WITHOUT ANY RATINGS. Two products are similar if they share ingredient functions, a restriction profile, a concern, a price band, a country. My rating column is only 51% complete and I have no user history, so this is the only content-based similarity available that uses everything I collected",The movie domain and the collaborative components,They enrich thin items with external data. My items are unusually rich already,"INVERT IT. They used LOD to enrich the ITEMS. I should use it to enrich the SHOPS. Wikidata and OpenStreetMap know where Beirut pharmacies are. A graph that knows a product is available fifteen minutes' walk away is doing something no cosmetics recommender has done, and geography is the one dimension where a Lebanese thesis has data nobody else can get","Section 4.3, similarity method"
23,C,AliCoCo,Read closely - biggest idea,AliCoCo: Alibaba E-commerce Cognitive Concept Net,"X. Luo, L. Liu, Y. Yang, L. Bo, Y. Cao, J. Wu, Q. Li, K. Yang, K. Q. Zhu",2020,ACM SIGMOD 2020,"SIGMOD. Rank A*, one of the very best database venues",Several hundred,"Alibaba Group and Shanghai Jiao Tong University, China",https://doi.org/10.1145/3318464.3386132 | https://github.com/alicogintel/AliCoCo,"Abstract, repository and secondary sources",Existing product ontologies describe what a product IS. Shoppers think in terms of what they NEED. That gap stops shopping being intelligent,E-commerce platforms and their shoppers,"Alibaba's own catalogue and user behaviour, at national scale",Very large. Millions of concepts and items,"Partially, via the GitHub repository","Not named, but the design principle is explicit",Large,Large,"The key move: E-COMMERCE CONCEPTS, meaning user needs, as FIRST-CLASS ENTITIES. Not 'moisturiser' but 'outdoor barbecue', 'keeping warm in winter', 'preparing for a beach holiday'","Relations connecting needs to items, categories and attributes",Not the focus. The contribution is the representation,Semi-automatic extraction at scale from catalogue and behavioural data,Alibaba's internal infrastructure,"Needs are matched to items through the concept net, so a shopper's stated situation retrieves products that serve it rather than products that match keywords",They don't say,They don't say,Their own concept net,"Deployed at Alibaba scale, with online metrics",Reported improvements in the deployed system,"Yes, and unusually it is validated by production deployment rather than an offline split","THE ONE IDEA. My concerns column is already a user need sitting in a product schema pretending to be an attribute. Promote it. A need entity can be satisfied by a ROUTINE of several products, can carry a budget, can carry a season, and can be constrained by availability. A product attribute can do none of that",The scale and the behavioural extraction. I have no behavioural data,They model needs but have no regulatory grounding and no provenance. Nothing in AliCoCo says who claimed what,"LEBANESE NEEDS ARE NOT GLOBAL NEEDS. 'A routine under twenty dollars a month.' 'Products that do not need refrigeration.' 'Something for a bride.' 'A routine I can buy entirely in one pharmacy.' These are real needs shaped by a real economy and every one is expressible in my data because I have lira prices, shop-level availability and multi-shop comparison. IF I WANT ONE IDEA THAT MAKES THIS THESIS SPECIAL RATHER THAN COMPETENT, IT IS THIS","Section 4.4, and the novelty claim"
24,C,Guo survey,Read for structure,A Survey on Knowledge Graph-Based Recommender Systems,"Q. Guo, F. Zhuang, C. Qin, H. Zhu, X. Xie, H. Xiong, Q. He",2022,IEEE Transactions on Knowledge and Data Engineering 34(8) 3549-3568,"IEEE TKDE. Q1, top journal",Over a thousand,"Chinese Academy of Sciences, Microsoft Research Asia, Rutgers",https://arxiv.org/abs/2003.00911,Abstract and the arXiv preprint,Organise the field of knowledge-graph-based recommendation into a usable taxonomy,Recommender systems researchers,A survey of the literature,Hundreds of papers surveyed,The survey is public,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,"Their three families: EMBEDDING-BASED (turn entities into vectors), PATH-BASED (find meaningful paths between user and item, which is the explainable one), and UNIFIED (propagate over the graph, combining both)",Doesn't apply here,Doesn't apply here,Doesn't apply here,Reviews others' evaluations,Doesn't apply here,It is a survey and is appropriately cautious,"THE TAXONOMY, as the structure of my hybrid section. Also the strengths and weaknesses: embeddings scale but lose the reasoning, paths explain but are expensive","The methods themselves, for now",ALL THREE FAMILIES ASSUME A USER-ITEM INTERACTION MATRIX. I have none. So my work sits UPSTREAM of the whole taxonomy,"This turns my biggest apparent weakness into a scope statement. The sentence: 'the survey classifies methods for USING a knowledge graph in recommendation, and assumes such a graph exists for the domain. For skincare in a local market, it does not. This thesis constructs one.' Say that and 'you have no user data' stops being a criticism","Section 4.5, positions the whole thesis"
25,C,Rahayu review,CITE IN INTRODUCTION,A systematic review of ontology use in E-Learning recommender system,N. Rahayu et al.,2022,Computers and Education: Artificial Intelligence,Well cited Elsevier journal,137,Indonesia,https://consensus.app/papers/details/1f58f76b65ab5e5ca6b4ec6af28c2664/,Abstract and quoted findings,Ontology use in recommender systems has not been studied systematically. So study it,Researchers building ontology-based recommenders,28 journal articles on ontology-based recommender systems,28 primary studies,The review is published,"Studies whether OTHERS named a methodology, and finds they mostly did not",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Reviews how others produce recommendations,They're reviewing other people's work,They're reviewing other people's work,"Reviews others' use of standards, and finds standards for profiles and object metadata are rarely adopted",Systematic review methodology,"TWO FINDINGS THAT ARE MY GAP STATEMENT: ontology-based recommender systems 'seldom use the methodology of building ontologies', and 'NONE of the primary studies described ontology evaluation methodologies'. None of 28",Yes. It is a systematic review and reports what it found,"THE MOST USEFUL SINGLE CITATION IN MY WHOLE REVIEW. It means naming a construction methodology and reporting a named evaluation method are not housekeeping, they are CONTRIBUTIONS, because a 137-citation review found nobody does either",The e-learning domain specifics,"Nothing. It is an ally, not a competitor",Two cheap actions become contributions. Naming MOMo and LOT costs one paragraph plus discipline. Running OOPS! and FOOPS! costs one afternoon. Together they put me ahead of a 28-paper sample on the two dimensions that sample was weakest on. There is no cheaper way to strengthen a thesis,"INTRODUCTION, not just related work"
26,C,Tarus review,Cite for justification,Knowledge-based recommendation: a review of ontology-based recommender systems for e-learning,"J. Tarus, Z. Niu, G. Mustafa",2017,Artificial Intelligence Review,"Springer, strong review journal",451,"Beijing Institute of Technology, China",https://consensus.app/papers/details/015574eca5b4569e908597b9530f1c34/,Abstract,"Review ontology-based recommendation for e-learning, which no prior review covered properly",Researchers,Journal papers 2005-2014,They never say,Published review,Categorises others' knowledge representation and ontology languages,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Categorises others' recommendation techniques,Doesn't apply here,Doesn't apply here,Doesn't apply here,Systematic review,"Concludes that using ontology for knowledge representation IMPROVES recommendation quality, and that hybridising knowledge-based with other techniques improves effectiveness","Yes, for a review",THE STANDARD CITATION for the claim that ontologies improve recommendation quality. 451 citations means nobody will argue with it,The e-learning specifics,"Nothing, it is a justification source","When a supervisor asks 'why an ontology at all', this is the reference with 451 citations that answers it in one line. Keep it to hand","Section 4, opening justification"
27,C,Tarus hybrid,Cite for cold start,A hybrid knowledge-based recommender system for e-learning based on ontology and sequential pattern mining,"J. Tarus, Z. Niu, A. Yousif",2017,Future Generation Computer Systems,"Elsevier, Q1",277,"Beijing Institute of Technology, China",https://consensus.app/papers/details/69c37012e3de5c3891ffa9bed00d6c52/,Abstract,"Recommenders suffer cold start and rating sparsity, and ignore differences between learners",E-learning platforms,Learner data and learning resources,They never say,They don't say,Not named,They don't say,They don't say,Learner and learning resource classes,Ontology domain knowledge for similarity,None stated,They don't say,Ontology plus sequential pattern mining,"Four steps: build the ontology, compute rating similarity using ontology domain knowledge, generate top-N with collaborative filtering, then apply sequential pattern mining to reorder",They don't say,They don't say,None,Experiments comparing against baselines,Reported improved performance,Reasonable,THEIR EXPLICIT CLAIM that ontological domain knowledge ALLEVIATES COLD START AND SPARSITY. That is my cold start argument with a 277-citation citation attached,Sequential pattern mining and collaborative filtering. No user sequences here,"They still model no authority, no provenance, no availability","The structure of their argument is transferable wholesale: ontology handles what you know about the domain, the learned component handles what you know about users. That is exactly the division I should propose for future work, and it means my ontology is the half that must exist first","Section 4, cold start; Section 5, future work"
28,C,George & Lal,Cite in passing,Review of ontology-based recommender systems in e-learning,"G. George, A. M. Lal",2019,"Computers and Education, Elsevier",Q1 journal,183,India,https://consensus.app/papers/details/1171abdae4bf54eebbc12c0da1d98e60/,Abstract,Survey ontology use for personalisation in e-learning recommenders,Researchers,Literature,They never say,Published review,They're reviewing other people's work,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,They're reviewing other people's work,Doesn't apply here,Doesn't apply here,Doesn't apply here,Review,"Names the three benefits of ontologies: REUSABILITY, REASONING ABILITY, and support for INFERENCE","Yes, for a review","The three-word summary of why an ontology: reusability, reasoning, inference. Useful phrasing for a supervisor conversation","Their subject area, which isn't ours",Nothing,"When I need to say in one breath what an ontology buys me over a spreadsheet, this is the phrasing, and it is citable","Section 4, opening justification"
29,C,Alaa ontology evolution,Read for maintenance,Improving Recommendations for Online Retail Markets Based on Ontology Evolution,R. Alaa et al.,2021,"Electronics, MDPI",Indexed MDPI journal,14,Egypt,https://consensus.app/papers/details/3d92e67dcc925ea89d0541ffbf6b99a3/,Abstract,"Ontology-based recommenders build the ontology once from a snapshot, but user preferences change over time, so one-shot construction is too constrained",E-retailers,Online retail purchase data,They never say,They don't say,"Proposes a SEMI-AUTOMATIC ontology building methodology, plus an ontology evolution subsystem",They don't say,They don't say,"Online retail ontology, classes not detailed in the abstract",They don't go into it,Recommendation by ontology REASONING,Semi-automatic technique,They don't say,"Recommendation is produced by reasoning over the ontology, which evolves as purchase data accumulates","Yes, reasoning is the mechanism",They don't say,None,Abstract doesn't say,They don't say,Can't tell from the abstract,"THE MAINTENANCE ARGUMENT. One-shot ontology construction cannot capture change. Every skincare ontology in my review is a snapshot with no plan. Lebanese prices move weekly, so this is not theoretical for me",The retail evolution machinery itself,"They evolve preferences. I need to evolve PRICES and AVAILABILITY, which is a harder and more concrete version of the same problem","This gives me the citation for the maintenance section that LOT requires and nobody in track B has. My named graphs design already supports it: reload graph:lb-retail weekly without touching anything else. The architecture answers the paper's criticism by construction, and I can say so","Section 4, and my maintenance plan"
